==== bert_W_QKV (128,768,768), iters=1000 ====
[PCG] Loaded from /home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_020113/brillm_dummy_pcg/bert_W_QKV_party0.bin
[PCG] Matrix: [128×768] × [768×768] = [128×768], k=64-bit

╔═══════════════════════════════════════════════════════════╗
║  GPU Matrix Beaver Online                                 ║
║  Y = X × W                                                ║
╠═══════════════════════════════════════════════════════════╣
║  GPU: NVIDIA RTX A6000                               ║
║  Matrix: [128×768] × [768×768] = [128×768]                      
║  k_bits: 64                                              ║
║  iterations: 1000                                         ║
╚═══════════════════════════════════════════════════════════╝

Iter 161: total=3.02 ms, PRG=0.07 ms, comm=2.19 ms, GEMM=0.28 ms
Iter 162: total=3.02 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 163: total=3.04 ms, PRG=0.07 ms, comm=2.22 ms, GEMM=0.28 ms
Iter 164: total=3.02 ms, PRG=0.07 ms, comm=2.22 ms, GEMM=0.27 ms
Iter 165: total=3.02 ms, PRG=0.07 ms, comm=2.22 ms, GEMM=0.28 ms
Iter 166: total=3.22 ms, PRG=0.07 ms, comm=2.40 ms, GEMM=0.28 ms
Iter 167: total=3.08 ms, PRG=0.07 ms, comm=2.27 ms, GEMM=0.27 ms
Iter 168: total=3.23 ms, PRG=0.07 ms, comm=2.42 ms, GEMM=0.28 ms
Iter 169: total=3.02 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 170: total=3.01 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 171: total=3.03 ms, PRG=0.07 ms, comm=2.21 ms, GEMM=0.27 ms
Iter 172: total=3.00 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 173: total=3.03 ms, PRG=0.07 ms, comm=2.23 ms, GEMM=0.27 ms
Iter 174: total=3.03 ms, PRG=0.07 ms, comm=2.23 ms, GEMM=0.28 ms
Iter 175: total=3.16 ms, PRG=0.07 ms, comm=2.35 ms, GEMM=0.28 ms
Iter 176: total=4.67 ms, PRG=0.07 ms, comm=3.86 ms, GEMM=0.28 ms
Iter 177: total=3.05 ms, PRG=0.07 ms, comm=2.24 ms, GEMM=0.27 ms
Iter 178: total=2.98 ms, PRG=0.07 ms, comm=2.17 ms, GEMM=0.28 ms
Iter 179: total=3.02 ms, PRG=0.07 ms, comm=2.19 ms, GEMM=0.28 ms
Iter 180: total=3.05 ms, PRG=0.07 ms, comm=2.24 ms, GEMM=0.27 ms
Iter 181: total=2.99 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.27 ms
Iter 182: total=3.01 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 183: total=3.01 ms, PRG=0.07 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 184: total=3.12 ms, PRG=0.07 ms, comm=2.32 ms, GEMM=0.27 ms
Iter 185: total=3.01 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 186: total=3.03 ms, PRG=0.07 ms, comm=2.23 ms, GEMM=0.28 ms
Iter 187: total=3.02 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 188: total=3.02 ms, PRG=0.07 ms, comm=2.22 ms, GEMM=0.27 ms
Iter 189: total=3.00 ms, PRG=0.07 ms, comm=2.19 ms, GEMM=0.28 ms
Iter 190: total=3.01 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 191: total=2.98 ms, PRG=0.07 ms, comm=2.17 ms, GEMM=0.28 ms
Iter 192: total=3.01 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.27 ms
Iter 193: total=3.02 ms, PRG=0.07 ms, comm=2.22 ms, GEMM=0.28 ms
Iter 194: total=3.03 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.29 ms
Iter 195: total=3.01 ms, PRG=0.08 ms, comm=2.20 ms, GEMM=0.29 ms
Iter 196: total=3.02 ms, PRG=0.08 ms, comm=2.21 ms, GEMM=0.29 ms
Iter 197: total=3.04 ms, PRG=0.08 ms, comm=2.23 ms, GEMM=0.29 ms
Iter 198: total=3.02 ms, PRG=0.08 ms, comm=2.21 ms, GEMM=0.29 ms
Iter 199: total=3.11 ms, PRG=0.08 ms, comm=2.27 ms, GEMM=0.28 ms
Iter 200: total=3.05 ms, PRG=0.08 ms, comm=2.22 ms, GEMM=0.29 ms
Iter 201: total=3.04 ms, PRG=0.08 ms, comm=2.23 ms, GEMM=0.28 ms
Iter 202: total=3.94 ms, PRG=0.08 ms, comm=3.09 ms, GEMM=0.29 ms
Iter 203: total=3.03 ms, PRG=0.08 ms, comm=2.20 ms, GEMM=0.29 ms
Iter 204: total=3.03 ms, PRG=0.08 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 205: total=3.00 ms, PRG=0.08 ms, comm=2.18 ms, GEMM=0.28 ms
Iter 206: total=3.02 ms, PRG=0.08 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 207: total=3.03 ms, PRG=0.08 ms, comm=2.19 ms, GEMM=0.29 ms
Iter 208: total=3.08 ms, PRG=0.08 ms, comm=2.22 ms, GEMM=0.29 ms
Iter 209: total=3.05 ms, PRG=0.08 ms, comm=2.22 ms, GEMM=0.29 ms
Iter 210: total=3.05 ms, PRG=0.08 ms, comm=2.24 ms, GEMM=0.28 ms
Iter 211: total=3.06 ms, PRG=0.08 ms, comm=2.19 ms, GEMM=0.29 ms
Iter 212: total=3.06 ms, PRG=0.08 ms, comm=2.21 ms, GEMM=0.29 ms
Iter 213: total=3.05 ms, PRG=0.08 ms, comm=2.24 ms, GEMM=0.28 ms
Iter 214: total=3.05 ms, PRG=0.08 ms, comm=2.23 ms, GEMM=0.28 ms
Iter 215: total=3.02 ms, PRG=0.08 ms, comm=2.19 ms, GEMM=0.29 ms
Iter 216: total=4.73 ms, PRG=0.08 ms, comm=3.00 ms, GEMM=0.31 ms
Iter 217: total=3.03 ms, PRG=0.08 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 218: total=3.06 ms, PRG=0.08 ms, comm=2.24 ms, GEMM=0.29 ms
Iter 219: total=3.02 ms, PRG=0.08 ms, comm=2.18 ms, GEMM=0.29 ms
Iter 220: total=3.06 ms, PRG=0.07 ms, comm=2.19 ms, GEMM=0.29 ms
Iter 221: total=3.04 ms, PRG=0.08 ms, comm=2.23 ms, GEMM=0.28 ms
Iter 222: total=3.04 ms, PRG=0.08 ms, comm=2.23 ms, GEMM=0.28 ms
Iter 223: total=3.02 ms, PRG=0.08 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 224: total=3.05 ms, PRG=0.08 ms, comm=2.23 ms, GEMM=0.29 ms
Iter 225: total=3.87 ms, PRG=0.08 ms, comm=3.04 ms, GEMM=0.29 ms
Iter 226: total=3.03 ms, PRG=0.08 ms, comm=2.21 ms, GEMM=0.29 ms
Iter 227: total=3.08 ms, PRG=0.08 ms, comm=2.25 ms, GEMM=0.28 ms
Iter 228: total=3.01 ms, PRG=0.08 ms, comm=2.19 ms, GEMM=0.29 ms
Iter 229: total=3.04 ms, PRG=0.08 ms, comm=2.20 ms, GEMM=0.29 ms
Iter 230: total=3.11 ms, PRG=0.08 ms, comm=2.29 ms, GEMM=0.29 ms
Iter 231: total=3.09 ms, PRG=0.08 ms, comm=2.27 ms, GEMM=0.29 ms
Iter 232: total=3.04 ms, PRG=0.08 ms, comm=2.21 ms, GEMM=0.29 ms
Iter 233: total=3.02 ms, PRG=0.08 ms, comm=2.21 ms, GEMM=0.29 ms
Iter 234: total=3.02 ms, PRG=0.08 ms, comm=2.20 ms, GEMM=0.29 ms
Iter 235: total=3.02 ms, PRG=0.08 ms, comm=2.19 ms, GEMM=0.29 ms
Iter 236: total=3.03 ms, PRG=0.08 ms, comm=2.22 ms, GEMM=0.28 ms
Iter 237: total=3.03 ms, PRG=0.08 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 238: total=3.06 ms, PRG=0.08 ms, comm=2.25 ms, GEMM=0.28 ms
Iter 239: total=3.11 ms, PRG=0.08 ms, comm=2.29 ms, GEMM=0.28 ms
Iter 240: total=3.09 ms, PRG=0.08 ms, comm=2.27 ms, GEMM=0.28 ms
Iter 241: total=3.04 ms, PRG=0.08 ms, comm=2.22 ms, GEMM=0.28 ms
Iter 242: total=3.02 ms, PRG=0.08 ms, comm=2.18 ms, GEMM=0.29 ms
Iter 243: total=3.05 ms, PRG=0.08 ms, comm=2.23 ms, GEMM=0.28 ms
Iter 244: total=3.02 ms, PRG=0.07 ms, comm=2.19 ms, GEMM=0.29 ms
Iter 245: total=3.08 ms, PRG=0.08 ms, comm=2.26 ms, GEMM=0.28 ms
Iter 246: total=3.05 ms, PRG=0.08 ms, comm=2.23 ms, GEMM=0.29 ms
Iter 247: total=3.05 ms, PRG=0.08 ms, comm=2.24 ms, GEMM=0.28 ms
Iter 248: total=3.06 ms, PRG=0.08 ms, comm=2.24 ms, GEMM=0.28 ms
Iter 249: total=3.05 ms, PRG=0.08 ms, comm=2.23 ms, GEMM=0.28 ms
Iter 250: total=3.02 ms, PRG=0.08 ms, comm=2.17 ms, GEMM=0.28 ms
Iter 251: total=3.04 ms, PRG=0.08 ms, comm=2.21 ms, GEMM=0.29 ms
Iter 252: total=3.04 ms, PRG=0.07 ms, comm=2.19 ms, GEMM=0.29 ms
Iter 253: total=3.20 ms, PRG=0.08 ms, comm=2.38 ms, GEMM=0.28 ms
Iter 254: total=3.00 ms, PRG=0.08 ms, comm=2.19 ms, GEMM=0.28 ms
Iter 255: total=3.03 ms, PRG=0.08 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 256: total=3.02 ms, PRG=0.08 ms, comm=2.19 ms, GEMM=0.29 ms
Iter 257: total=3.04 ms, PRG=0.08 ms, comm=2.23 ms, GEMM=0.29 ms
Iter 258: total=3.05 ms, PRG=0.08 ms, comm=2.21 ms, GEMM=0.29 ms
Iter 259: total=3.06 ms, PRG=0.08 ms, comm=2.21 ms, GEMM=0.29 ms
